State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Dec 14 2021,125503,117950,1725
United States,Dec 13 2021,195330,117876,841
United States,Dec 12 2021,51014,117510,0
United States,Dec 11 2021,55171,117320,0
United States,Dec 10 2021,132420,117824,0
United States,Dec  9 2021,137323,120486,0
United States,Dec  8 2021,128892,121289,0
United States,Dec  7 2021,124985,121889,126
United States,Dec  6 2021,192766,121225,0
United States,Dec  5 2021,49687,108112,0
United States,Dec  4 2021,58698,108633,0
United States,Dec  3 2021,151052,107299,0
United States,Dec  2 2021,142944,97284,0
United States,Dec  1 2021,133097,86893,0
United States,Nov 30 2021,120332,82913,165
United States,Nov 29 2021,100978,80288,171
United States,Nov 28 2021,53334,87881,92
United States,Nov 27 2021,49356,85128,51
United States,Nov 26 2021,80947,83644,19
United States,Nov 25 2021,70213,88317,76
United States,Nov 24 2021,105236,94496,245
United States,Nov 23 2021,101953,94637,126
United States,Nov 22 2021,154129,93896,50
United States,Nov 21 2021,34062,92413,490
United States,Nov 20 2021,38968,91637,81
United States,Nov 19 2021,113659,92853,100
United States,Nov 18 2021,113466,94207,10684
United States,Nov 17 2021,106222,88229,55
United States,Nov 16 2021,96772,85974,59
United States,Nov 15 2021,143742,84015,9
United States,Nov 14 2021,28634,81796,61
United States,Nov 13 2021,47476,81417,15371
United States,Nov 12 2021,123139,78702,145
United States,Nov 11 2021,71623,73898,590
United States,Nov 10 2021,90435,76248,1792
United States,Nov  9 2021,83056,74749,177
United States,Nov  8 2021,128214,73324,49
United States,Nov  7 2021,25976,72187,66
United States,Nov  6 2021,28473,71411,528
United States,Nov  5 2021,89514,71447,186
United States,Nov  4 2021,88072,71093,219
United States,Nov  3 2021,79944,70218,108
United States,Nov  2 2021,73079,70781,685
United States,Nov  1 2021,120256,74973,7959
United States,Oct 31 2021,20543,71308,64
United States,Oct 30 2021,28727,71745,569
United States,Oct 29 2021,87035,71870,137
United States,Oct 28 2021,81948,70951,21885
United States,Oct 27 2021,83883,71713,457
United States,Oct 26 2021,102420,70642,262
United States,Oct 25 2021,94603,67583,47
United States,Oct 24 2021,23599,64152,94
United States,Oct 23 2021,29606,67820,451
United States,Oct 22 2021,80603,72471,316
United States,Oct 21 2021,87283,73949,377
United States,Oct 20 2021,76380,75282,532
United States,Oct 19 2021,81011,78226,520
United States,Oct 18 2021,70584,79667,23
United States,Oct 17 2021,49275,80325,76
United States,Oct 16 2021,62164,81784,825
United States,Oct 15 2021,90949,82899,806
United States,Oct 14 2021,96615,85301,498
United States,Oct 13 2021,96986,87497,732
United States,Oct 12 2021,91102,89042,649
United States,Oct 11 2021,75188,91012,84
United States,Oct 10 2021,59488,92779,161
United States,Oct  9 2021,69965,94054,648
United States,Oct  8 2021,107765,95680,544
United States,Oct  7 2021,111989,97446,793
United States,Oct  6 2021,107800,98957,10536
United States,Oct  5 2021,104893,100185,238
United States,Oct  4 2021,87557,101931,29
United States,Oct  3 2021,68409,104199,207
United States,Oct  2 2021,81352,105437,493
United States,Oct  1 2021,120126,107480,1428
United States,Sep 30 2021,122563,109332,1427
United States,Sep 29 2021,116395,111191,1354
United States,Sep 28 2021,117116,113478,1069
United States,Sep 27 2021,103433,116039,613
United States,Sep 26 2021,77079,114647,239
United States,Sep 25 2021,95650,117503,646
United States,Sep 24 2021,133091,121424,781
United States,Sep 23 2021,135575,124922,1466
United States,Sep 22 2021,132403,129460,445
United States,Sep 21 2021,135046,133842,624
United States,Sep 20 2021,93690,137720,33
United States,Sep 19 2021,97066,140587,87
United States,Sep 18 2021,123102,143332,575
United States,Sep 17 2021,157572,147632,531
United States,Sep 16 2021,167345,149327,540
United States,Sep 15 2021,163075,152105,916
United States,Sep 14 2021,162193,153097,660
United States,Sep 13 2021,113760,146842,164
United States,Sep 12 2021,116281,146348,79
United States,Sep 11 2021,153199,147548,527
United States,Sep 10 2021,169440,145977,349
United States,Sep  9 2021,186792,147901,404
United States,Sep  8 2021,170017,147259,1347
United States,Sep  7 2021,118410,151381,90
United States,Sep  6 2021,110302,159747,404
United States,Sep  5 2021,124676,163225,277
United States,Sep  4 2021,142202,162309,417
United States,Sep  3 2021,182912,163597,388
United States,Sep  2 2021,182296,163584,401
United States,Sep  1 2021,198873,164276,323
United States,Aug 31 2021,176971,161272,504
United States,Aug 30 2021,134649,159385,83
United States,Aug 29 2021,118261,156928,179
United States,Aug 28 2021,151220,158181,361
United States,Aug 27 2021,182818,156987,201
United States,Aug 26 2021,187140,154718,253
United States,Aug 25 2021,177851,152981,257
United States,Aug 24 2021,163760,151601,367
United States,Aug 23 2021,117449,149750,69
United States,Aug 22 2021,127030,148728,70
United States,Aug 21 2021,142866,146385,376
United States,Aug 20 2021,166936,145852,1934
United States,Aug 19 2021,174976,142942,204
United States,Aug 18 2021,168196,139600,1040
United States,Aug 17 2021,150797,136226,250
United States,Aug 16 2021,110296,134194,130
United States,Aug 15 2021,110633,131860,74
United States,Aug 14 2021,139132,129929,167
United States,Aug 13 2021,146569,127193,97
United States,Aug 12 2021,151581,124248,266
United States,Aug 11 2021,144575,121041,270
United States,Aug 10 2021,136578,118115,183
United States,Aug  9 2021,93954,114402,82
United States,Aug  8 2021,97120,115783,42
United States,Aug  7 2021,119978,110912,99
United States,Aug  6 2021,125951,105416,7773
United States,Aug  5 2021,129133,102423,234
United States,Aug  4 2021,124092,98161,333
United States,Aug  3 2021,110586,93221,322
United States,Aug  2 2021,103625,89720,25
United States,Aug  1 2021,63024,85139,44
United States,Jul 31 2021,81507,82317,164
United States,Jul 30 2021,104998,78289,334
United States,Jul 29 2021,99301,73072,229
United States,Jul 28 2021,89507,69292,120
United States,Jul 27 2021,86079,65305,142
United States,Jul 26 2021,71557,60294,36
United States,Jul 25 2021,43270,56569,28
United States,Jul 24 2021,53314,54443,122
United States,Jul 23 2021,68476,51328,345
United States,Jul 22 2021,72842,47597,283
United States,Jul 21 2021,61601,42985,184
United States,Jul 20 2021,51002,39680,136
United States,Jul 19 2021,45484,37377,266
United States,Jul 18 2021,28387,35072,45
United States,Jul 17 2021,31506,33413,71
United States,Jul 16 2021,42358,31844,42
United States,Jul 15 2021,40557,29739,112
United States,Jul 14 2021,38467,27963,106
United States,Jul 13 2021,34885,25726,0
United States,Jul 12 2021,29346,23628,0
United States,Jul 11 2021,16773,20752,0
United States,Jul 10 2021,20528,19838,0
United States,Jul  9 2021,27619,18768,0
United States,Jul  8 2021,28127,17227,155785
United States,Jul  7 2021,22804,15881,0
United States,Jul  6 2021,20199,14282,0
United States,Jul  5 2021,9217,13645,0
United States,Jul  4 2021,10374,13852,4
United States,Jul  3 2021,13036,13870,0
United States,Jul  2 2021,16836,13891,0
United States,Jul  1 2021,18704,13642,0
United States,Jun 30 2021,11611,13189,0
United States,Jun 29 2021,15738,13511,0
United States,Jun 28 2021,10668,13188,0
United States,Jun 27 2021,10501,12900,0
United States,Jun 26 2021,13179,12676,0
United States,Jun 25 2021,15093,12564,0
United States,Jun 24 2021,15536,12126,0
United States,Jun 23 2021,13862,11803,0
United States,Jun 22 2021,13477,11710,0
United States,Jun 21 2021,8653,11620,0
United States,Jun 20 2021,8932,11567,0
United States,Jun 19 2021,12398,11518,0
United States,Jun 18 2021,12026,11528,0
United States,Jun 17 2021,13277,11812,0
United States,Jun 16 2021,13212,12210,0
United States,Jun 15 2021,12843,13051,0
United States,Jun 14 2021,8282,13299,0
United States,Jun 13 2021,8590,13539,0
United States,Jun 12 2021,12468,13880,0
United States,Jun 11 2021,14014,14212,0
United States,Jun 10 2021,16062,14867,1
United States,Jun  9 2021,19099,15238,464
United States,Jun  8 2021,14579,14830,0
United States,Jun  7 2021,9961,14021,0
